,County,Registered Voters,Ballots Cast,A_Total _Votes,R_Total_Votes,AR_Total,Share_vote,A_share,R_share,cbg,Median Age,Male Median Age,Female Median Age,White,Black,Indian and Alaska,Asian,Pacific,Other,Two races,Two or more,Total educated number,Less than 9th,9th to 12th,High schoo,College no degree,Associate,Bachelor,Graduate,Median household income
192,7019,3976,3318,1615,1215,2830,0.8529234478601567,0.48673899939722726,0.36618444846292947,60855063043,31.2,29.0,34.0,534.0,83.0,13.0,1016.0,32.0,279.0,156.0,165.0,847.0,0.0,0.0,147.0,70.0,161.0,249.0,220.0,109189.0
193,7025,3425,2790,1512,902,2414,0.8652329749103943,0.5419354838709678,0.3232974910394265,60855064011,29.8,30.3,27.9,343.0,25.0,3.0,220.0,1.0,45.0,67.0,71.0,379.0,0.0,8.0,0.0,28.0,19.0,128.0,196.0,183694.0
194,7038,321,296,135,120,255,0.8614864864864865,0.4560810810810811,0.40540540540540543,60855079042,49.3,49.9,48.4,377.0,1.0,3.0,1116.0,3.0,12.0,71.0,77.0,963.0,0.0,8.0,67.0,84.0,26.0,298.0,480.0,229313.0
195,7038,321,296,135,120,255,0.8614864864864865,0.4560810810810811,0.40540540540540543,60855079041,41.0,42.4,40.8,331.0,3.0,4.0,1381.0,5.0,14.0,66.0,77.0,924.0,16.0,15.0,42.0,73.0,31.0,280.0,467.0,207981.0
196,7041,3457,2862,1387,1003,2390,0.8350803633822502,0.48462613556953177,0.3504542278127184,60855063053,38.6,41.0,34.6,520.0,208.0,35.0,518.0,4.0,217.0,159.0,161.0,868.0,0.0,90.0,95.0,351.0,68.0,159.0,105.0,69479.0
197,7044,2098,1749,872,582,1454,0.8313321898227558,0.4985706117781589,0.33276157804459694,60855063054,36.8,35.7,38.1,557.0,213.0,33.0,351.0,8.0,632.0,224.0,233.0,1033.0,48.0,41.0,213.0,363.0,113.0,129.0,126.0,90266.0
198,7044,2098,1749,872,582,1454,0.8313321898227558,0.4985706117781589,0.33276157804459694,60855063052,35.1,32.3,41.0,495.0,96.0,52.0,634.0,24.0,867.0,330.0,341.0,1380.0,36.0,92.0,342.0,349.0,125.0,341.0,95.0,79583.0
199,7044,2098,1749,872,582,1454,0.8313321898227558,0.4985706117781589,0.33276157804459694,60855063051,27.5,22.3,35.2,263.0,37.0,22.0,259.0,9.0,342.0,118.0,126.0,763.0,44.0,62.0,81.0,131.0,47.0,302.0,96.0,80345.0
200,7046,3396,2780,1464,971,2435,0.8758992805755396,0.5266187050359712,0.34928057553956837,60855063022,34.3,34.7,34.1,823.0,45.0,14.0,673.0,9.0,180.0,190.0,216.0,1863.0,246.0,103.0,291.0,432.0,224.0,349.0,218.0,138182.0
201,7059,549,455,236,157,393,0.8637362637362638,0.5186813186813187,0.34505494505494505,60855079042,49.3,49.9,48.4,377.0,1.0,3.0,1116.0,3.0,12.0,71.0,77.0,963.0,0.0,8.0,67.0,84.0,26.0,298.0,480.0,229313.0
202,7061,2225,1985,1043,674,1717,0.8649874055415617,0.52544080604534,0.3395465994962217,60855062023,47.2,38.9,58.8,464.0,31.0,2.0,628.0,6.0,80.0,56.0,59.0,734.0,60.0,25.0,207.0,166.0,41.0,122.0,113.0,81319.0
203,7062,2982,2549,1250,898,2148,0.8426834052569635,0.49038838760298153,0.35229501765398197,60855062022,42.0,43.0,41.2,907.0,64.0,11.0,1208.0,7.0,103.0,181.0,196.0,1409.0,64.0,0.0,314.0,71.0,117.0,497.0,346.0,155020.0
204,7079,2131,1912,931,675,1606,0.8399581589958159,0.4869246861924686,0.3530334728033473,60855066045,41.2,41.0,41.2,629.0,118.0,4.0,633.0,0.0,105.0,142.0,167.0,824.0,6.0,34.0,74.0,138.0,83.0,276.0,213.0,171333.0
205,7079,2131,1912,931,675,1606,0.8399581589958159,0.4869246861924686,0.3530334728033473,60855066042,37.1,37.7,36.1,826.0,24.0,18.0,703.0,0.0,58.0,188.0,203.0,1102.0,0.0,0.0,116.0,156.0,71.0,483.0,276.0,245234.0
206,7079,2131,1912,931,675,1606,0.8399581589958159,0.4869246861924686,0.3530334728033473,60855066043,37.2,34.5,40.2,739.0,13.0,5.0,718.0,2.0,52.0,143.0,157.0,1067.0,0.0,0.0,191.0,181.0,54.0,470.0,171.0,168092.0
207,7081,1922,1734,880,605,1485,0.856401384083045,0.5074971164936563,0.3489042675893887,60855066033,33.6,29.1,43.1,555.0,17.0,5.0,524.0,4.0,70.0,128.0,135.0,885.0,9.0,0.0,84.0,132.0,101.0,457.0,102.0,221750.0
208,7089,1362,1214,611,413,1024,0.8434925864909391,0.5032948929159803,0.3401976935749588,60855066044,41.9,53.3,33.2,672.0,6.0,4.0,708.0,0.0,22.0,171.0,183.0,761.0,0.0,17.0,53.0,115.0,47.0,289.0,240.0,250000.0
209,8003,2865,2535,1345,853,2198,0.867061143984221,0.5305719921104537,0.33648915187376727,60855058004,39.6,41.1,38.9,690.0,14.0,3.0,192.0,4.0,73.0,146.0,155.0,1094.0,0.0,10.0,171.0,314.0,27.0,273.0,299.0,228333.0
210,8003,2865,2535,1345,853,2198,0.867061143984221,0.5305719921104537,0.33648915187376727,60855058003,40.6,40.7,40.6,479.0,3.0,7.0,172.0,6.0,63.0,119.0,127.0,625.0,0.0,20.0,68.0,159.0,76.0,159.0,143.0,106250.0
211,8011,492,437,244,131,375,0.8581235697940504,0.5583524027459954,0.2997711670480549,60855005004,42.2,46.8,28.8,541.0,16.0,9.0,161.0,2.0,90.0,98.0,106.0,552.0,0.0,0.0,65.0,51.0,41.0,230.0,165.0,200536.0
212,8011,492,437,244,131,375,0.8581235697940504,0.5583524027459954,0.2997711670480549,60855005005,56.0,44.8,64.0,377.0,24.0,13.0,129.0,5.0,110.0,280.0,304.0,961.0,8.0,69.0,169.0,125.0,21.0,250.0,319.0,101314.0
213,8012,16,17,8,7,15,0.8823529411764706,0.47058823529411764,0.4117647058823529,60855005005,56.0,44.8,64.0,377.0,24.0,13.0,129.0,5.0,110.0,280.0,304.0,961.0,8.0,69.0,169.0,125.0,21.0,250.0,319.0,101314.0
214,8013,109,84,38,31,69,0.8214285714285714,0.4523809523809524,0.36904761904761907,60855005005,56.0,44.8,64.0,377.0,24.0,13.0,129.0,5.0,110.0,280.0,304.0,961.0,8.0,69.0,169.0,125.0,21.0,250.0,319.0,101314.0
215,8030,1148,945,456,322,778,0.8232804232804233,0.48253968253968255,0.34074074074074073,60855064012,29.2,28.5,30.3,419.0,93.0,32.0,357.0,0.0,416.0,169.0,172.0,971.0,30.0,12.0,283.0,309.0,43.0,139.0,155.0,81884.0
216,8033,282,236,119,72,191,0.809322033898305,0.5042372881355932,0.3050847457627119,60855020012,35.4,41.4,32.6,255.0,14.0,12.0,191.0,1.0,144.0,39.0,54.0,723.0,56.0,37.0,91.0,178.0,1.0,258.0,102.0,86071.0
217,8033,282,236,119,72,191,0.809322033898305,0.5042372881355932,0.3050847457627119,60855020013,34.8,34.1,35.9,501.0,40.0,24.0,248.0,5.0,171.0,199.0,216.0,845.0,8.0,5.0,179.0,229.0,78.0,232.0,114.0,133182.0
218,8034,290,205,121,57,178,0.8682926829268293,0.5902439024390244,0.2780487804878049,60855020012,35.4,41.4,32.6,255.0,14.0,12.0,191.0,1.0,144.0,39.0,54.0,723.0,56.0,37.0,91.0,178.0,1.0,258.0,102.0,86071.0
219,8034,290,205,121,57,178,0.8682926829268293,0.5902439024390244,0.2780487804878049,60855020011,34.0,28.8,36.0,368.0,42.0,24.0,129.0,5.0,470.0,218.0,227.0,834.0,112.0,54.0,228.0,84.0,159.0,130.0,67.0,
220,8040,630,515,310,148,458,0.8893203883495145,0.6019417475728155,0.287378640776699,60855020023,31.5,29.3,35.4,619.0,79.0,38.0,270.0,8.0,1051.0,401.0,425.0,1615.0,151.0,60.0,313.0,384.0,110.0,402.0,195.0,90848.0
221,8040,630,515,310,148,458,0.8893203883495145,0.6019417475728155,0.287378640776699,60855020021,36.6,32.1,42.3,241.0,24.0,31.0,98.0,2.0,213.0,143.0,157.0,537.0,0.0,59.0,220.0,81.0,71.0,27.0,79.0,
222,8047,2162,1882,993,624,1617,0.859192348565356,0.5276301806588736,0.33156216790648246,60855021011,33.6,31.9,33.7,587.0,24.0,16.0,403.0,16.0,133.0,176.0,189.0,1206.0,12.0,33.0,63.0,104.0,121.0,628.0,245.0,116813.0
223,8049,59,44,23,11,34,0.7727272727272727,0.5227272727272727,0.25,60855021021,,,,,,,,,,,,,,,,,,,,
224,8049,59,44,23,11,34,0.7727272727272727,0.5227272727272727,0.25,60855021022,,,,,,,,,,,,,,,,,,,,
225,8050,1860,1453,827,473,1300,0.8947006194081212,0.5691672401927047,0.32553337921541636,60855021021,,,,,,,,,,,,,,,,,,,,
226,8053,2999,2540,1393,771,2164,0.8519685039370078,0.5484251968503937,0.3035433070866142,60855022011,,,,,,,,,,,,,,,,,,,,
227,8062,3284,2627,1443,843,2286,0.8701941377997716,0.5492957746478874,0.3208983631518843,60855021024,,,,,,,,,,,,,,,,,,,,
228,8062,3284,2627,1443,843,2286,0.8701941377997716,0.5492957746478874,0.3208983631518843,60855021023,,,,,,,,,,,,,,,,,,,,
229,8068,49,41,27,9,36,0.8780487804878049,0.6585365853658537,0.21951219512195122,60855023022,34.8,36.2,34.2,719.0,52.0,20.0,249.0,8.0,351.0,233.0,257.0,1404.0,88.0,26.0,89.0,567.0,100.0,238.0,296.0,96071.0
230,8104,164,148,84,50,134,0.9054054054054054,0.5675675675675675,0.33783783783783783,60855029021,43.7,49.9,39.4,1515.0,24.0,4.0,427.0,3.0,57.0,278.0,309.0,1704.0,0.0,56.0,272.0,123.0,96.0,550.0,607.0,183203.0
231,8128,10,0,0,0,0,,,,60855021021,,,,,,,,,,,,,,,,,,,,
232,8601,586,502,251,169,420,0.8366533864541833,0.5,0.33665338645418325,60855027011,48.5,48.3,48.8,921.0,45.0,14.0,321.0,0.0,126.0,158.0,176.0,1155.0,9.0,53.0,147.0,243.0,35.0,394.0,274.0,99537.0
233,8601,586,502,251,169,420,0.8366533864541833,0.5,0.33665338645418325,60855026041,35.3,36.3,35.1,656.0,74.0,10.0,290.0,12.0,142.0,170.0,185.0,938.0,0.0,22.0,222.0,48.0,189.0,270.0,187.0,120854.0
234,8603,2632,2347,1194,796,1990,0.847890924584576,0.5087345547507456,0.3391563698338304,60855029014,51.2,52.2,47.2,1004.0,72.0,15.0,399.0,12.0,211.0,224.0,233.0,1076.0,0.0,83.0,189.0,208.0,139.0,321.0,136.0,84565.0
235,8605,3541,3076,1548,1033,2581,0.8390767230169051,0.5032509752925878,0.3358257477243173,60855027011,48.5,48.3,48.8,921.0,45.0,14.0,321.0,0.0,126.0,158.0,176.0,1155.0,9.0,53.0,147.0,243.0,35.0,394.0,274.0,99537.0
236,8605,3541,3076,1548,1033,2581,0.8390767230169051,0.5032509752925878,0.3358257477243173,60855027013,32.3,31.4,36.6,688.0,94.0,28.0,277.0,0.0,358.0,226.0,262.0,1126.0,33.0,26.0,184.0,253.0,110.0,291.0,229.0,124688.0
237,8610,1728,1561,813,535,1348,0.8635490070467648,0.5208199871877002,0.3427290198590647,60855029021,43.7,49.9,39.4,1515.0,24.0,4.0,427.0,3.0,57.0,278.0,309.0,1704.0,0.0,56.0,272.0,123.0,96.0,550.0,607.0,183203.0
238,8619,815,720,407,238,645,0.8958333333333334,0.5652777777777778,0.33055555555555555,60855029023,38.2,38.0,38.3,1413.0,47.0,20.0,719.0,6.0,191.0,368.0,404.0,2549.0,100.0,0.0,524.0,648.0,259.0,696.0,322.0,145804.0
239,8619,815,720,407,238,645,0.8958333333333334,0.5652777777777778,0.33055555555555555,60855029022,40.0,38.4,40.2,1572.0,38.0,34.0,477.0,6.0,148.0,421.0,450.0,1805.0,24.0,16.0,90.0,361.0,63.0,643.0,608.0,153839.0
240,8627,1434,1266,649,430,1079,0.8522906793048973,0.5126382306477093,0.33965244865718797,60855029013,35.3,33.8,43.7,572.0,22.0,7.0,264.0,2.0,94.0,146.0,162.0,369.0,0.0,18.0,14.0,60.0,17.0,141.0,119.0,177216.0
241,8627,1434,1266,649,430,1079,0.8522906793048973,0.5126382306477093,0.33965244865718797,60855029012,40.8,42.3,35.9,865.0,24.0,14.0,456.0,2.0,98.0,218.0,234.0,1088.0,0.0,12.0,124.0,310.0,117.0,361.0,164.0,197893.0
242,8629,2148,1850,909,640,1549,0.8372972972972973,0.49135135135135133,0.34594594594594597,60855029023,38.2,38.0,38.3,1413.0,47.0,20.0,719.0,6.0,191.0,368.0,404.0,2549.0,100.0,0.0,524.0,648.0,259.0,696.0,322.0,145804.0
243,8630,2906,2528,1274,884,2158,0.8536392405063291,0.5039556962025317,0.34968354430379744,60855029023,38.2,38.0,38.3,1413.0,47.0,20.0,719.0,6.0,191.0,368.0,404.0,2549.0,100.0,0.0,524.0,648.0,259.0,696.0,322.0,145804.0
244,8645,3394,3046,1535,1038,2573,0.8447143795141169,0.5039395929087328,0.34077478660538413,60855030034,,,,,,,,,,,,,,,,,,,,
245,8645,3394,3046,1535,1038,2573,0.8447143795141169,0.5039395929087328,0.34077478660538413,60855030033,38.7,33.2,48.1,880.0,22.0,5.0,394.0,4.0,179.0,247.0,263.0,1188.0,12.0,40.0,176.0,366.0,64.0,305.0,225.0,136705.0
246,8650,421,374,167,137,304,0.8128342245989305,0.446524064171123,0.3663101604278075,60855027024,,,,,,,,,,,,,,,,,,,,
247,8653,260,239,106,102,208,0.8702928870292888,0.4435146443514644,0.42677824267782427,60855027025,,,,,,,,,,,,,,,,,,,,
248,8653,260,239,106,102,208,0.8702928870292888,0.4435146443514644,0.42677824267782427,60855068012,53.6,54.0,53.5,996.0,27.0,8.0,427.0,4.0,43.0,197.0,212.0,1086.0,59.0,44.0,72.0,306.0,32.0,234.0,339.0,102353.0
249,8654,311,271,148,82,230,0.8487084870848709,0.5461254612546126,0.3025830258302583,60855027025,,,,,,,,,,,,,,,,,,,,
250,8657,766,655,321,255,576,0.8793893129770992,0.4900763358778626,0.3893129770992366,60855028003,43.9,40.6,47.2,708.0,8.0,15.0,266.0,1.0,58.0,127.0,137.0,773.0,0.0,29.0,168.0,105.0,15.0,286.0,170.0,216250.0
251,8657,766,655,321,255,576,0.8793893129770992,0.4900763358778626,0.3893129770992366,60855028002,42.7,42.3,42.9,773.0,10.0,16.0,621.0,1.0,143.0,165.0,184.0,1493.0,59.0,39.0,262.0,385.0,221.0,184.0,343.0,143942.0
252,8657,766,655,321,255,576,0.8793893129770992,0.4900763358778626,0.3893129770992366,60855028001,44.5,45.0,43.6,829.0,38.0,12.0,278.0,3.0,111.0,197.0,210.0,827.0,26.0,9.0,190.0,159.0,41.0,264.0,138.0,152333.0
253,8658,3874,3374,1633,1251,2884,0.8547717842323651,0.483995257854179,0.37077652637818614,60855029083,38.2,38.0,46.0,957.0,19.0,13.0,462.0,4.0,136.0,212.0,233.0,1344.0,5.0,18.0,217.0,304.0,170.0,384.0,246.0,123333.0
254,8658,3874,3374,1633,1251,2884,0.8547717842323651,0.483995257854179,0.37077652637818614,60855029082,41.2,37.3,42.6,1296.0,66.0,26.0,958.0,6.0,249.0,296.0,316.0,1729.0,18.0,35.0,503.0,398.0,139.0,342.0,294.0,148966.0
255,8670,2848,2203,1137,721,1858,0.8433953699500681,0.5161143894689061,0.32728098048116205,60855029092,47.4,46.3,48.3,554.0,7.0,18.0,142.0,3.0,56.0,151.0,156.0,559.0,2.0,0.0,80.0,123.0,64.0,191.0,99.0,116776.0
256,8675,1559,1328,683,453,1136,0.8554216867469879,0.5143072289156626,0.3411144578313253,60855120271,45.6,36.9,51.1,842.0,81.0,16.0,312.0,3.0,315.0,217.0,233.0,1369.0,23.0,132.0,239.0,360.0,24.0,387.0,204.0,49936.0
257,8675,1559,1328,683,453,1136,0.8554216867469879,0.5143072289156626,0.3411144578313253,60855120242,37.8,36.5,38.1,679.0,91.0,10.0,402.0,5.0,204.0,219.0,242.0,1063.0,19.0,33.0,121.0,184.0,34.0,472.0,200.0,131549.0
258,8680,2189,1981,1022,715,1737,0.8768298838970217,0.5159010600706714,0.36092882382635033,60855068021,38.2,38.1,39.1,938.0,14.0,2.0,372.0,0.0,49.0,166.0,182.0,1083.0,19.0,11.0,66.0,235.0,97.0,351.0,304.0,183750.0
259,8683,3591,3226,1609,1141,2750,0.8524488530688159,0.49876007439553627,0.3536887786732796,60855068022,40.3,42.5,32.7,789.0,10.0,6.0,269.0,0.0,44.0,131.0,141.0,668.0,0.0,21.0,68.0,189.0,53.0,275.0,62.0,167917.0
260,8683,3591,3226,1609,1141,2750,0.8524488530688159,0.49876007439553627,0.3536887786732796,60855068023,42.0,36.3,42.4,513.0,4.0,12.0,214.0,0.0,45.0,104.0,118.0,547.0,46.0,25.0,60.0,76.0,78.0,183.0,79.0,166146.0
261,8683,3591,3226,1609,1141,2750,0.8524488530688159,0.49876007439553627,0.3536887786732796,60855068024,43.7,43.4,44.6,332.0,4.0,4.0,224.0,0.0,35.0,62.0,76.0,380.0,0.0,16.0,27.0,140.0,33.0,112.0,52.0,102083.0
262,8683,3591,3226,1609,1141,2750,0.8524488530688159,0.49876007439553627,0.3536887786732796,60855068025,40.8,40.0,41.8,532.0,9.0,7.0,397.0,2.0,55.0,128.0,134.0,980.0,29.0,25.0,63.0,316.0,85.0,370.0,92.0,152528.0
263,8687,3452,2989,1456,1096,2552,0.853797256607561,0.48711943793911006,0.366677818668451,60855068033,36.8,36.3,39.2,1208.0,93.0,34.0,709.0,6.0,502.0,307.0,328.0,1647.0,26.0,251.0,213.0,380.0,112.0,487.0,178.0,159352.0
264,8687,3452,2989,1456,1096,2552,0.853797256607561,0.48711943793911006,0.366677818668451,60855029062,38.2,38.5,37.6,941.0,37.0,28.0,405.0,10.0,140.0,215.0,229.0,975.0,28.0,18.0,159.0,205.0,83.0,250.0,232.0,113182.0
265,8697,3637,3133,1579,1125,2704,0.8630705394190872,0.5039897861474625,0.35908075327162464,60855068034,34.2,35.0,32.5,581.0,30.0,25.0,322.0,3.0,94.0,113.0,135.0,702.0,0.0,0.0,126.0,163.0,25.0,268.0,120.0,241250.0
266,8697,3637,3133,1579,1125,2704,0.8630705394190872,0.5039897861474625,0.35908075327162464,60855068032,43.5,42.8,44.0,795.0,8.0,4.0,382.0,5.0,32.0,109.0,120.0,1148.0,68.0,16.0,178.0,367.0,56.0,323.0,140.0,179821.0
267,8832,2104,1897,946,650,1596,0.8413284132841329,0.49868212967843967,0.3426462836056932,60855119161,34.9,37.8,33.6,953.0,54.0,17.0,496.0,13.0,252.0,311.0,336.0,1131.0,31.0,29.0,181.0,372.0,91.0,275.0,152.0,99929.0
268,8832,2104,1897,946,650,1596,0.8413284132841329,0.49868212967843967,0.3426462836056932,60855119162,44.2,42.7,46.4,1305.0,19.0,12.0,1026.0,3.0,88.0,246.0,262.0,1725.0,0.0,28.0,164.0,218.0,164.0,611.0,540.0,183281.0
269,8834,1266,1012,517,324,841,0.8310276679841897,0.5108695652173914,0.3201581027667984,60855119151,40.4,37.2,41.0,622.0,32.0,28.0,390.0,6.0,60.0,159.0,181.0,825.0,0.0,34.0,65.0,186.0,17.0,305.0,218.0,146944.0
270,8834,1266,1012,517,324,841,0.8310276679841897,0.5108695652173914,0.3201581027667984,60855119152,25.2,22.5,30.3,241.0,79.0,61.0,100.0,3.0,639.0,173.0,186.0,535.0,15.0,13.0,145.0,215.0,62.0,11.0,74.0,88125.0
271,8838,300,258,128,91,219,0.8488372093023255,0.49612403100775193,0.35271317829457366,60855120521,45.8,46.0,45.1,486.0,34.0,4.0,137.0,4.0,80.0,122.0,143.0,603.0,8.0,25.0,45.0,152.0,21.0,187.0,165.0,93043.0
272,8857,1646,1517,729,564,1293,0.8523401450230719,0.48055372445616346,0.37178642056690836,60855119132,43.6,41.5,44.5,897.0,15.0,12.0,346.0,0.0,39.0,153.0,170.0,981.0,8.0,78.0,63.0,68.0,67.0,348.0,349.0,215694.0
273,8858,2376,2167,1111,739,1850,0.8537148131056761,0.5126903553299492,0.3410244577757268,60855119132,43.6,41.5,44.5,897.0,15.0,12.0,346.0,0.0,39.0,153.0,170.0,981.0,8.0,78.0,63.0,68.0,67.0,348.0,349.0,215694.0
274,8862,2560,2262,1074,820,1894,0.8373121131741822,0.47480106100795755,0.3625110521662246,60855119111,41.4,41.3,41.5,1185.0,180.0,16.0,514.0,1.0,77.0,178.0,189.0,1488.0,0.0,21.0,289.0,232.0,77.0,609.0,260.0,104565.0
275,8862,2560,2262,1074,820,1894,0.8373121131741822,0.47480106100795755,0.3625110521662246,60855119071,41.9,46.3,39.6,599.0,9.0,2.0,726.0,0.0,48.0,156.0,165.0,1002.0,20.0,48.0,118.0,182.0,47.0,380.0,207.0,191818.0
276,8879,3228,2921,1388,1080,2468,0.8449161246148579,0.4751797329681616,0.36973639164669636,60855119131,54.0,54.7,53.1,775.0,8.0,7.0,338.0,1.0,25.0,133.0,138.0,1040.0,0.0,18.0,55.0,208.0,58.0,478.0,223.0,128984.0
277,8879,3228,2921,1388,1080,2468,0.8449161246148579,0.4751797329681616,0.36973639164669636,60855119133,43.3,42.8,43.8,927.0,7.0,2.0,398.0,2.0,40.0,175.0,189.0,811.0,0.0,25.0,49.0,93.0,38.0,387.0,219.0,250000.0
278,8883,3404,3104,1392,1216,2608,0.8402061855670103,0.4484536082474227,0.3917525773195876,60855119143,46.1,44.5,47.3,879.0,25.0,3.0,527.0,2.0,76.0,180.0,201.0,659.0,7.0,33.0,21.0,133.0,46.0,248.0,171.0,205000.0
279,8885,3137,2858,1232,1171,2403,0.8407977606717985,0.4310706787963611,0.4097270818754374,60855119072,43.2,40.3,43.6,1024.0,30.0,8.0,1177.0,1.0,48.0,178.0,196.0,1553.0,11.0,49.0,78.0,203.0,175.0,556.0,481.0,215735.0
280,8885,3137,2858,1232,1171,2403,0.8407977606717985,0.4310706787963611,0.4097270818754374,60855119113,55.4,56.6,49.9,992.0,15.0,3.0,553.0,1.0,20.0,171.0,186.0,1469.0,19.0,6.0,190.0,203.0,71.0,598.0,382.0,202349.0
281,8886,357,330,147,142,289,0.8757575757575757,0.44545454545454544,0.4303030303030303,60855119091,,,,,,,,,,,,,,,,,,,,
282,8889,2680,2458,1080,991,2071,0.8425549227013832,0.43938161106590723,0.403173311635476,60855119091,,,,,,,,,,,,,,,,,,,,
283,8889,2680,2458,1080,991,2071,0.8425549227013832,0.43938161106590723,0.403173311635476,60855119101,52.6,48.0,53.7,641.0,1.0,0.0,293.0,3.0,20.0,105.0,111.0,934.0,0.0,29.0,116.0,83.0,53.0,428.0,225.0,158333.0
284,8898,2737,2497,1181,977,2158,0.8642370845014017,0.47296756107328797,0.3912695234281137,60855119113,55.4,56.6,49.9,992.0,15.0,3.0,553.0,1.0,20.0,171.0,186.0,1469.0,19.0,6.0,190.0,203.0,71.0,598.0,382.0,202349.0
285,8903,3460,3108,1418,1245,2663,0.8568211068211068,0.45624195624195624,0.40057915057915056,60855119091,,,,,,,,,,,,,,,,,,,,
